Source,https://docs.google.com/spreadsheets/d/1FvOgqfLh3Smw31-qE1cQDgbrAxBdNvDirsXNezwq7W0/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard
,,,,,premier,premier,premier,premier,premier,premier,senior A,senior A,senior A,senior A,senior A,senior A,u24,u24,junior,junior,BCP,BCP
,,,,,Open,Open,Women,Women,Mix,Mix,Open,Open,Women,Women,Mix,Mix,Open,Open,Open,Open,Women,Women
#,Team,Club,Country,Entries,200m,500m,200m,500m,200m,500m,200m,500m,200m,500m,200m,500m,200m,500m,200m,500m,200m,500m
,,,,,4,4,3,2,5,4,2,3,3,3,4,5,2,1,0,0,1,0
1,Motion,Motion,Serbia,2,,,,,x,x,,,,,,,,,,,,
2,Wraysbury Dragons & Waka Ama,Wraysbury Dragons & Waka Ama,United Kingdom,2,x,x,,,,,,,,,,,,,,,,
3,Haifa Lions ,Haifa Lions Sea Sports Club,ISRAEL,3,,x,,,,,,,,,x,x,,,,,,
4,Gladiators dragon boat team,Gladiators Abu Dhabi,United Arab Emirates,2,,,,,x,x,,,,,,,,,,,,
5,Britannia ,Britannia UK,United Kingdom ,2,,,,,,,,,x,x,,,,,,,,
6,Legends,Clubul West Sport Arad,Romania,0,,,,,,,,,,,,,,,,,,
7,Nautic Banat Timisoara,Nautic Banat Timisoara,Romania,12,x,x,x,x,x,x,x,x,,,x,x,x,x,,,,
8,Nautic Banat Timisoara 2,Nautic Banat Timisoara,Romania,0,,,,,,,,,,,,,,,,,,
9,THE LIONS OF CONGO,THE LIONS OF CONGO,DEMOCRATIQUE REPUBLIQUE  OF CONGO,9,x,,x,,x,,,x,x,x,,x,x,,,,x,
10,Beodragons,Beodragons,Serbia,12,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,
11,HSB MARİNE DRAGON TEAM,HSB MARİNE DRAGON TEAM,TURKEY,0,,,,,,,,,,,,,,,,,,
12,Wraysbury Britannia,Wraysbury/Britannia,United Kingdom,2,,,,,,,,,,,x,x,,,,,,
13,,,,0,,,,,,,,,,,,,,,,,,
14,,,,0,,,,,,,,,,,,,,,,,,
15,,,,0,,,,,,,,,,,,,,,,,,
TOTAL,,,,46,4,4,3,2,5,4,2,3,3,3,4,5,2,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
,,,,,premier,premier,premier,premier,premier,premier,senior A,senior A,senior A,senior A,senior A,senior A,u24,u24,junior,junior,BCP,BCP
,,,,,Open,Open,Women,Women,Mix,Mix,Open,Open,Women,Women,Mix,Mix,Open,Open,Open,Open,Women,Women
#,Team,Club,Country,Entries,200m,500m,200m,500m,200m,500m,200m,500m,200m,500m,200m,500m,200m,500m,200m,500m,200m,500m
,,,,,9,7,6,4,7,5,5,6,5,3,7,7,4,2,3,2,0,0
1,Motion,Motion,Serbia,9,x,x,x,x,x,x,,,,,x,x,x,,,,,
2,Wraysbury Dragons & Waka Ama,Wraysbury Dragons & Waka Ama,United Kingdom,0,,,,,,,,,,,,,,,,,,
3,Haifa Lions ,Haifa Lions Sea Sports Club,ISRAEL,8,x,,x,,x,,x,x,x,,x,x,,,,,,
4,Gladiators dragon boat team,Gladiators Abu Dhabi,United Arab Emirates,7,x,x,x,x,x,x,,,,,x,,,,,,,
5,Britannia ,Britannia UK,United Kingdom ,2,,,,,,,,,x,x,,,,,,,,
6,Legends,Clubul West Sport Arad,Romania,8,x,x,,,x,x,x,x,,,x,x,,,,,,
7,Nautic Banat Timisoara,Nautic Banat Timisoara,Romania,16,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
8,Nautic Banat Timisoara 2,Nautic Banat Timisoara,Romania,8,x,x,,,,,x,x,,,x,x,,,x,x,,
9,THE LIONS OF CONGO,THE LIONS OF CONGO,DEMOCRATIQUE REPUBLIQUE  OF CONGO,8,x,,x,,x,,,x,x,,,x,x,,x,,,
10,Beodragons,Beodragons,Serbia,12,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,
11,HSB MARİNE DRAGON TEAM,HSB MARİNE DRAGON TEAM,TURKEY,4,x,x,,,,,,,,,,,x,x,,,,
12,Wraysbury Britannia,Wraysbury/Britannia,United Kingdom,0,,,,,,,,,,,,,,,,,,
13,,,,0,,,,,,,,,,,,,,,,,,
14,,,,0,,,,,,,,,,,,,,,,,,
15,,,,0,,,,,,,,,,,,,,,,,,
TOTAL,,,,82,9,7,6,4,7,5,5,6,5,3,7,7,4,2,3,2,0,0
